"Ref_genome","Sample1","Sample2","Average_score","Compared_regions"
"E_coli_K-12_MG1655","ASM15512v1","ASM17195v1",0.999947881174278,20
"E_coli_K-12_MG1655","ASM15512v1","ASM2222v1",0.958714742716315,20
"E_coli_K-12_MG1655","ASM15512v1","ASM2516v1",0.950167482173914,20
"E_coli_K-12_MG1655","ASM15512v1","ASM666v1",0.959677741041065,20
"E_coli_K-12_MG1655","ASM15512v1","ASM886v1",0.979616541880106,20
"E_coli_K-12_MG1655","ASM15512v1","SRR10358485",0.754304005125542,20
"E_coli_K-12_MG1655","ASM15512v1","SRR10358486",0.742130219962977,20
"E_coli_K-12_MG1655","ASM15512v1","SRR10358487",0.816032979921535,20
"E_coli_K-12_MG1655","ASM15512v1","SRR10358488",0.807809593523102,20
"E_coli_K-12_MG1655","ASM15512v1","SRR10358489",0.817135637036647,20
"E_coli_K-12_MG1655","ASM15512v1","SRR10358491",0.782223945110337,20
"E_coli_K-12_MG1655","ASM17195v1","ASM2222v1",0.975770785142576,20
"E_coli_K-12_MG1655","ASM17195v1","ASM2516v1",0.956915878409002,20
"E_coli_K-12_MG1655","ASM17195v1","ASM666v1",0.984616398558006,20
"E_coli_K-12_MG1655","ASM17195v1","ASM886v1",0.969176945937332,20
"E_coli_K-12_MG1655","ASM17195v1","SRR10358485",0.902058230108717,20
"E_coli_K-12_MG1655","ASM17195v1","SRR10358486",0.827964470103814,20
"E_coli_K-12_MG1655","ASM17195v1","SRR10358487",0.755221928736328,20
"E_coli_K-12_MG1655","ASM17195v1","SRR10358488",0.852265994427991,20
"E_coli_K-12_MG1655","ASM17195v1","SRR10358489",0.814680624175666,20
"E_coli_K-12_MG1655","ASM17195v1","SRR10358491",0.797802844648771,20
"E_coli_K-12_MG1655","ASM2222v1","ASM2516v1",0.928380153097442,20
"E_coli_K-12_MG1655","ASM2222v1","ASM666v1",0.955288305525856,20
"E_coli_K-12_MG1655","ASM2222v1","ASM886v1",0.999947804387454,20
"E_coli_K-12_MG1655","ASM2222v1","SRR10358485",0.781779895160752,20
"E_coli_K-12_MG1655","ASM2222v1","SRR10358486",0.776909091241045,20
"E_coli_K-12_MG1655","ASM2222v1","SRR10358487",0.824119823632779,20
"E_coli_K-12_MG1655","ASM2222v1","SRR10358488",0.852783845915213,20
"E_coli_K-12_MG1655","ASM2222v1","SRR10358489",0.869896683188216,20
"E_coli_K-12_MG1655","ASM2222v1","SRR10358491",0.784743765302448,20
"E_coli_K-12_MG1655","ASM2516v1","ASM666v1",0.986984357222154,20
"E_coli_K-12_MG1655","ASM2516v1","ASM886v1",0.920100670667249,20
"E_coli_K-12_MG1655","ASM2516v1","SRR10358485",0.847139485075485,20
"E_coli_K-12_MG1655","ASM2516v1","SRR10358486",0.783398291530359,20
"E_coli_K-12_MG1655","ASM2516v1","SRR10358487",0.85454675172043,20
"E_coli_K-12_MG1655","ASM2516v1","SRR10358488",0.827667996045898,20
"E_coli_K-12_MG1655","ASM2516v1","SRR10358489",0.806859518244577,20
"E_coli_K-12_MG1655","ASM2516v1","SRR10358491",0.832541940193903,20
"E_coli_K-12_MG1655","ASM666v1","ASM886v1",0.999086075379299,20
"E_coli_K-12_MG1655","ASM666v1","SRR10358485",0.812172117739435,20
"E_coli_K-12_MG1655","ASM666v1","SRR10358486",0.789504462490926,20
"E_coli_K-12_MG1655","ASM666v1","SRR10358487",0.806275328562809,20
"E_coli_K-12_MG1655","ASM666v1","SRR10358488",0.770474410936575,20
"E_coli_K-12_MG1655","ASM666v1","SRR10358489",0.821003285032454,20
"E_coli_K-12_MG1655","ASM666v1","SRR10358491",0.855070614946866,20
"E_coli_K-12_MG1655","ASM886v1","SRR10358485",0.865433815350208,20
"E_coli_K-12_MG1655","ASM886v1","SRR10358486",0.86184206634605,20
"E_coli_K-12_MG1655","ASM886v1","SRR10358487",0.839114174558721,20
"E_coli_K-12_MG1655","ASM886v1","SRR10358488",0.824302625155341,20
"E_coli_K-12_MG1655","ASM886v1","SRR10358489",0.832642105470359,20
"E_coli_K-12_MG1655","ASM886v1","SRR10358491",0.887166761876801,20
"E_coli_K-12_MG1655","SRR10358485","SRR10358486",0.999908760342659,20
"E_coli_K-12_MG1655","SRR10358485","SRR10358487",0.99995221935302,20
"E_coli_K-12_MG1655","SRR10358485","SRR10358488",0.99993050071929,20
"E_coli_K-12_MG1655","SRR10358485","SRR10358489",0.975728324304857,20
"E_coli_K-12_MG1655","SRR10358485","SRR10358491",0.999908779478055,20
"E_coli_K-12_MG1655","SRR10358486","SRR10358487",1,20
"E_coli_K-12_MG1655","SRR10358486","SRR10358488",0.999978283104143,20
"E_coli_K-12_MG1655","SRR10358486","SRR10358489",1,20
"E_coli_K-12_MG1655","SRR10358486","SRR10358491",0.984905064687214,20
"E_coli_K-12_MG1655","SRR10358487","SRR10358488",0.984922439941772,20
"E_coli_K-12_MG1655","SRR10358487","SRR10358489",0.999939113491587,20
"E_coli_K-12_MG1655","SRR10358487","SRR10358491",0.999947878581006,20
"E_coli_K-12_MG1655","SRR10358488","SRR10358489",0.999986969862486,20
"E_coli_K-12_MG1655","SRR10358488","SRR10358491",0.999250530610454,20
"E_coli_K-12_MG1655","SRR10358489","SRR10358491",0.984620665610008,20
