"sample1","sample2","average_score","compared_regions"
"ASM15512v1","ASM17195v1",0.974409823863967,200
"ASM15512v1","ASM2222v1",0.981137402165184,200
"ASM15512v1","ASM2516v1",0.967012514024994,200
"ASM15512v1","ASM666v1",0.972798012230779,200
"ASM15512v1","ASM886v1",0.979324195196183,200
"ASM15512v1","SRR10358485",0.816289796857911,200
"ASM15512v1","SRR10358486",0.807551089338847,200
"ASM15512v1","SRR10358487",0.808374220396527,200
"ASM15512v1","SRR10358488",0.83252211495731,200
"ASM15512v1","SRR10358489",0.830606853690981,200
"ASM15512v1","SRR10358491",0.808821529363191,200
"ASM17195v1","ASM2222v1",0.996922949680762,200
"ASM17195v1","ASM2516v1",0.957076254207283,200
"ASM17195v1","ASM666v1",0.967453178980589,200
"ASM17195v1","ASM886v1",0.991383794520002,200
"ASM17195v1","SRR10358485",0.834702122913191,200
"ASM17195v1","SRR10358486",0.813760485001912,200
"ASM17195v1","SRR10358487",0.79020256332172,200
"ASM17195v1","SRR10358488",0.800587220741443,200
"ASM17195v1","SRR10358489",0.815859500718599,200
"ASM17195v1","SRR10358491",0.821658046303846,200
"ASM2222v1","ASM2516v1",0.953127597865068,200
"ASM2222v1","ASM666v1",0.9615273108388,200
"ASM2222v1","ASM886v1",0.980643790116671,200
"ASM2222v1","SRR10358485",0.830164021174577,200
"ASM2222v1","SRR10358486",0.802021298328764,200
"ASM2222v1","SRR10358487",0.814082377829062,200
"ASM2222v1","SRR10358488",0.835988090153356,200
"ASM2222v1","SRR10358489",0.81809359403815,200
"ASM2222v1","SRR10358491",0.799109902187953,200
"ASM2516v1","ASM666v1",0.953961864073628,200
"ASM2516v1","ASM886v1",0.955035161347835,200
"ASM2516v1","SRR10358485",0.825771096709453,200
"ASM2516v1","SRR10358486",0.806576986326347,200
"ASM2516v1","SRR10358487",0.829868973511724,200
"ASM2516v1","SRR10358488",0.843130277732955,200
"ASM2516v1","SRR10358489",0.800363801652888,200
"ASM2516v1","SRR10358491",0.824541420684774,200
"ASM666v1","ASM886v1",0.975429168926038,200
"ASM666v1","SRR10358485",0.804043179344708,200
"ASM666v1","SRR10358486",0.821982628202101,200
"ASM666v1","SRR10358487",0.827958024698618,200
"ASM666v1","SRR10358488",0.808333066747167,200
"ASM666v1","SRR10358489",0.814243806488314,200
"ASM666v1","SRR10358491",0.828004253468836,200
"ASM886v1","SRR10358485",0.828502284405886,200
"ASM886v1","SRR10358486",0.825907982560536,200
"ASM886v1","SRR10358487",0.808706104723354,200
"ASM886v1","SRR10358488",0.81706381016285,200
"ASM886v1","SRR10358489",0.813836394966262,200
"ASM886v1","SRR10358491",0.807676025261368,200
"SRR10358485","SRR10358486",0.992674861589901,200
"SRR10358485","SRR10358487",0.996817380769312,200
"SRR10358485","SRR10358488",0.995910005885932,200
"SRR10358485","SRR10358489",0.995298651646181,200
"SRR10358485","SRR10358491",0.986876526299551,200
"SRR10358486","SRR10358487",0.999993042673324,200
"SRR10358486","SRR10358488",0.99758133501363,200
"SRR10358486","SRR10358489",0.999969498080782,200
"SRR10358486","SRR10358491",0.990751346416484,200
"SRR10358487","SRR10358488",0.996079241037144,200
"SRR10358487","SRR10358489",0.998487458357087,200
"SRR10358487","SRR10358491",0.993381465072069,200
"SRR10358488","SRR10358489",0.996959661175289,200
"SRR10358488","SRR10358491",0.995919587919752,200
"SRR10358489","SRR10358491",0.994464521500433,200
