"sample1","sample2","average_score","compared_regions"
"ASM15512v1","ASM17195v1",0.972144048585589,658
"ASM15512v1","ASM2222v1",0.978452988965255,692
"ASM15512v1","ASM2516v1",0.954481585038134,686
"ASM15512v1","ASM666v1",0.96806226115647,691
"ASM15512v1","ASM886v1",0.983209017926013,696
"ASM15512v1","SRR10358485",0.818085034195272,662
"ASM15512v1","SRR10358486",0.819709335965926,661
"ASM15512v1","SRR10358487",0.818466837185561,661
"ASM15512v1","SRR10358488",0.821338873285207,662
"ASM15512v1","SRR10358489",0.819702304041026,663
"ASM15512v1","SRR10358491",0.817752678374027,661
"ASM17195v1","ASM2222v1",0.990339292830623,663
"ASM17195v1","ASM2516v1",0.953453447965381,655
"ASM17195v1","ASM666v1",0.967311217658667,655
"ASM17195v1","ASM886v1",0.97458023696645,661
"ASM17195v1","SRR10358485",0.81710551096944,635
"ASM17195v1","SRR10358486",0.818522469977173,634
"ASM17195v1","SRR10358487",0.817226221399089,634
"ASM17195v1","SRR10358488",0.820221368066063,635
"ASM17195v1","SRR10358489",0.818513873938569,636
"ASM17195v1","SRR10358491",0.817160719958251,634
"ASM2222v1","ASM2516v1",0.959072960669754,688
"ASM2222v1","ASM666v1",0.969234101007221,689
"ASM2222v1","ASM886v1",0.97992129377744,695
"ASM2222v1","SRR10358485",0.819328058973743,665
"ASM2222v1","SRR10358486",0.820686126999586,664
"ASM2222v1","SRR10358487",0.819448443869308,664
"ASM2222v1","SRR10358488",0.82230459473432,665
"ASM2222v1","SRR10358489",0.820671420701393,666
"ASM2222v1","SRR10358491",0.819379353139292,664
"ASM2516v1","ASM666v1",0.950000462147021,684
"ASM2516v1","ASM886v1",0.957036445873463,689
"ASM2516v1","SRR10358485",0.827573296526459,671
"ASM2516v1","SRR10358486",0.828505256458076,670
"ASM2516v1","SRR10358487",0.827332393007743,671
"ASM2516v1","SRR10358488",0.830496798187546,671
"ASM2516v1","SRR10358489",0.828504205935877,673
"ASM2516v1","SRR10358491",0.826720764699869,671
"ASM666v1","ASM886v1",0.972372022601627,693
"ASM666v1","SRR10358485",0.816750948997088,660
"ASM666v1","SRR10358486",0.818164239226022,659
"ASM666v1","SRR10358487",0.817584849640886,658
"ASM666v1","SRR10358488",0.820477692316908,660
"ASM666v1","SRR10358489",0.818629702303264,660
"ASM666v1","SRR10358491",0.817002734015205,658
"ASM886v1","SRR10358485",0.816297076463895,665
"ASM886v1","SRR10358486",0.817648751335303,664
"ASM886v1","SRR10358487",0.816410862427609,664
"ASM886v1","SRR10358488",0.819272705631095,665
"ASM886v1","SRR10358489",0.817646632903783,666
"ASM886v1","SRR10358491",0.816794263056031,664
"SRR10358485","SRR10358486",0.994651321478428,848
"SRR10358485","SRR10358487",0.994275796437932,845
"SRR10358485","SRR10358488",0.994630306219923,854
"SRR10358485","SRR10358489",0.993945733072657,849
"SRR10358485","SRR10358491",0.988246374908924,852
"SRR10358486","SRR10358487",0.999639193403626,843
"SRR10358486","SRR10358488",0.998330796981091,847
"SRR10358486","SRR10358489",0.999271025344746,846
"SRR10358486","SRR10358491",0.992523384000327,846
"SRR10358487","SRR10358488",0.998330899261315,844
"SRR10358487","SRR10358489",0.999271882595904,844
"SRR10358487","SRR10358491",0.992737973457468,844
"SRR10358488","SRR10358489",0.997629739171225,849
"SRR10358488","SRR10358491",0.992506342146137,851
"SRR10358489","SRR10358491",0.992351469605755,848
