"sample1","sample2","average_score","compared_regions"
"ASM15512v1","ASM17195v1",0.966664548044466,60
"ASM15512v1","ASM2222v1",0.979964351568687,60
"ASM15512v1","ASM2516v1",0.938159242075058,60
"ASM15512v1","ASM666v1",0.979036868400479,60
"ASM15512v1","ASM886v1",0.975251930976368,60
"ASM15512v1","SRR10358485",0.828828412419308,60
"ASM15512v1","SRR10358486",0.810449689060733,60
"ASM15512v1","SRR10358487",0.844929657833885,60
"ASM15512v1","SRR10358488",0.837808696898648,60
"ASM15512v1","SRR10358489",0.798215922303359,60
"ASM15512v1","SRR10358491",0.834301644937971,60
"ASM17195v1","ASM2222v1",0.986981542283196,60
"ASM17195v1","ASM2516v1",0.936287221946117,60
"ASM17195v1","ASM666v1",0.981408453027738,60
"ASM17195v1","ASM886v1",0.963456721809818,60
"ASM17195v1","SRR10358485",0.787940353956591,60
"ASM17195v1","SRR10358486",0.802999695911958,60
"ASM17195v1","SRR10358487",0.794317248443564,60
"ASM17195v1","SRR10358488",0.858071259660401,60
"ASM17195v1","SRR10358489",0.844195575967632,60
"ASM17195v1","SRR10358491",0.861203983024183,60
"ASM2222v1","ASM2516v1",0.952851480060358,60
"ASM2222v1","ASM666v1",0.939862862498105,60
"ASM2222v1","ASM886v1",0.976494506363318,60
"ASM2222v1","SRR10358485",0.843410282691216,60
"ASM2222v1","SRR10358486",0.807062034666686,60
"ASM2222v1","SRR10358487",0.803410918182802,60
"ASM2222v1","SRR10358488",0.848343594814755,60
"ASM2222v1","SRR10358489",0.766121822306148,60
"ASM2222v1","SRR10358491",0.878543865684091,60
"ASM2516v1","ASM666v1",0.948770878078923,60
"ASM2516v1","ASM886v1",0.947038920777446,60
"ASM2516v1","SRR10358485",0.79669391189062,60
"ASM2516v1","SRR10358486",0.864878773930429,60
"ASM2516v1","SRR10358487",0.789466840851387,60
"ASM2516v1","SRR10358488",0.796576130848817,60
"ASM2516v1","SRR10358489",0.830096918107551,60
"ASM2516v1","SRR10358491",0.799800516047616,60
"ASM666v1","ASM886v1",0.970936968624807,60
"ASM666v1","SRR10358485",0.820851524504038,60
"ASM666v1","SRR10358486",0.793065484284657,60
"ASM666v1","SRR10358487",0.823482870489733,60
"ASM666v1","SRR10358488",0.80408807938031,60
"ASM666v1","SRR10358489",0.798156206114562,60
"ASM666v1","SRR10358491",0.854312802713222,60
"ASM886v1","SRR10358485",0.837010103790496,60
"ASM886v1","SRR10358486",0.755598554001378,60
"ASM886v1","SRR10358487",0.80285879719013,60
"ASM886v1","SRR10358488",0.793386087842196,60
"ASM886v1","SRR10358489",0.779971493313718,60
"ASM886v1","SRR10358491",0.788776597653918,60
"SRR10358485","SRR10358486",0.999801759087975,60
"SRR10358485","SRR10358487",0.986774419078777,60
"SRR10358485","SRR10358488",0.99995077213937,60
"SRR10358485","SRR10358489",0.999842961327081,60
"SRR10358485","SRR10358491",0.991489126095716,60
"SRR10358486","SRR10358487",1,60
"SRR10358486","SRR10358488",0.986853713568139,60
"SRR10358486","SRR10358489",0.999989859361985,60
"SRR10358486","SRR10358491",0.99461869431269,60
"SRR10358487","SRR10358488",0.999979729738502,60
"SRR10358487","SRR10358489",1,60
"SRR10358487","SRR10358491",0.984810723813449,60
"SRR10358488","SRR10358489",0.999976834731795,60
"SRR10358488","SRR10358491",0.99493215630241,60
"SRR10358489","SRR10358491",0.976797724216438,60
